Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adi Jagadguru Shree Shankaracharya Garden,"22HC+FVH, Morning Walkers Association Marg, Nerul East, Sector 21, Nerul, Navi Mumbai, Maharashtra 400706",22HC+FVH,Morning Walkers Association Marg,Park,022 2771 0824,"022 2771 0824, +91 22 2771 0824",NO,1152,4.2,https://search.google.com/local/reviews?placeid=ChIJqQgpYb_D5zsRhBIUGFPqjFc&q=Navi+Mumbai+all+gardens&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6308674820646376068,19.0286782,73.0222303,,,,https://lh5.googleusercontent.com/p/AF1QipPgnAwjioPmnczKCIVCX0q-r8etB4fsgFbeUJYh=w122-h92-k-no,6.30867E+18,ChIJqQgpYb_D5zsRhBIUGFPqjFc,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector-48 Garden,"2278+FM9, Sector-48, Seawoods, Navi Mumbai, Maharashtra 400706",2278+FM9,"Sector-48, Seawoods",Park,pnavZtDoO-fw4-EP2rn_4AQ,,NO,60,4.2,https://search.google.com/local/reviews?placeid=ChIJA_kbo5jD5zsR7UfCUjelycw&q=Navi+Mumbai+all+gardens&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14756507311086389229,19.0136654,73.0167414,,,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOxI2bNtmlpcqI69zYeMM7iyNjm0BT7LUjd0KsT=w163-h92-k-no,1.47565E+19,ChIJA_kbo5jD5zsR7UfCUjelycw,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector -1 Garden,"3XCW+6CM, Unnamed Road, Sector 1, Vashi, Navi Mumbai, Maharashtra 400703",3XCW+6CM,Unnamed Road,Park,pnavZtDoO-fw4-EP2rn_4AQ,,NO,35,3.9,https://search.google.com/local/reviews?placeid=ChIJb4xT_krB5zsRQB0fsGRuOHY&q=Navi+Mumbai+all+gardens&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8518680073901907264,19.0705867,72.9960483,,,,https://lh5.googleusercontent.com/p/AF1QipOVTJDr7EOaOukW_ujcO26kbxrkoEF6Zr4wpPKR=w163-h92-k-no,8.51868E+18,ChIJb4xT_krB5zsRQB0fsGRuOHY,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahatma Phule Garden,"38, Seawoods West, Sector 40, Seawoods, Navi Mumbai, Maharashtra 400706",38,"Seawoods West, Sector 40, Seawoods",Garden,pnavZtDoO-fw4-EP2rn_4AQ,,NO,80,4.2,https://search.google.com/local/reviews?placeid=ChIJi25Uy5fD5zsRC0ZRYunNNRI&q=Navi+Mumbai+all+gardens&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1312181268708935179,19.0205239,73.0157872,,,"Sunday:[8 am–8 pm], Monday:[8 am–8 pm], Tuesday:[8 am–8 pm], Wednesday:[8 am–8 pm], Thursday:[8 am–8 pm], Friday:[8 am–8 pm], Saturday:[8 am–8 pm]",https://lh5.googleusercontent.com/p/AF1QipNu1HdMzinNdFxcH5Ok6U-PuZJztgXlqnJ6WZwq=w122-h92-k-no,1.31218E+18,ChIJi25Uy5fD5zsRC0ZRYunNNRI,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganapat Tandel Garden,"22C6+PFC, Sector 26, Nerul, Navi Mumbai, Maharashtra 400706",22C6+PFC,"Sector 26, Nerul",Garden,pnavZtDoO-fw4-EP2rn_4AQ,,NO,27,4.4,https://search.google.com/local/reviews?placeid=ChIJLdZFf5bD5zsRhYGxaNAl0rk&q=Navi+Mumbai+all+gardens&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13389806219165794693,19.0218054,73.0111483,,,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMMCJQCdujhbys1HhYVZxCtoP1t49xR4Sj0qJ_j=w163-h92-k-no,1.33898E+19,ChIJLdZFf5bD5zsRhYGxaNAl0rk,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***Intense Fitness Club (IFC Gym),"KiPlot No 75,Vardhaman Market,1st Floor,Shop No 106, above Front Street Cake Shop, opp. Andhra bank, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703","KiPlot No 75,Vardhaman Market,1st Floor,Shop No 106",above Front Street Cake Shop,"Gym,Gymnasium school",098336 66622,"098336 66622, +91 98336 66622",YES,519,4.6,https://search.google.com/local/reviews?placeid=ChIJE2g-4knB5zsR3N3xQNJQfKw&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12428897935598673372,19.0736269,73.0001811,,,"Sunday:[6 am–10 pm], Monday:[6 am–11 pm], Tuesday:[6 am–11 pm], Wednesday:[6 am–11 pm], Thursday:[6 am–11 pm], Friday:[6 am–11 pm], Saturday:[6 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipOOUjfrL52cmZnNimRMtMbrEa6yQeHcrm-Ty2VO=w163-h92-k-no,1.24289E+19,ChIJE2g-4knB5zsR3N3xQNJQfKw,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,
Physc Gym Vashi 24/7,"First Floor, Sai Pooja Complex, near Gaon Devi Mandir, Juhu Nagar, Juhu Village, Sector 11, Vashi, Navi Mumbai, Maharashtra 400703",First Floor,Sai Pooja Complex,"Gym,Boxing Coaching Center,Fitness center,Weight loss service",087796 72100,"087796 72100, +91 87796 72100",YES,336,4.8,https://search.google.com/local/reviews?placeid=ChIJDdLEj37B5zsRQtOZXyj14MU&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14258665974006403906,19.0843334,73.001254,,,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOedvUS5ymmA4Odp8DImdwRFc_YJy_pK0d2Pyk5=w204-h92-k-no,1.42587E+19,ChIJDdLEj37B5zsRQtOZXyj14MU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tungsten Fitness Luxury Gym Navi Mumbai,"Shop No. 17, Goldcrest Residency, Sector-11, Palm Beach Rd, CIDCO, Ghansoli, Navi Mumbai, Maharashtra 400701",Shop No. 17,Goldcrest Residency,Fitness center,078008 80068,"078008 80068, +91 78008 80068",YES,378,4.4,https://search.google.com/local/reviews?placeid=ChIJfeD7TTfB5zsRL0FjBk3kTpc&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10902902767381332271,19.1182916,72.994527,https://www.tungsten-fitness.com/,tungsten-fitness.com,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPlUvWfL-O_C0SPH8QsCvnPsP-5S8kxstLq3jWx=w80-h106-k-no,1.09029E+19,ChIJfeD7TTfB5zsRL0FjBk3kTpc,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustangs Fitness Centre,"First floor, Ofc nos 4, Mahavir Center, plot no. 77, Landmark:, above Golden Punjab Restaurant, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703","First floor, Ofc nos 4",Mahavir Center,Gym,087792 72114,"087792 72114, +91 87792 72114",YES,261,4.8,https://search.google.com/local/reviews?placeid=ChIJY2hQkjTB5zsRHAwrydyUfwQ&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=324141374182722588,19.0736057,72.999219,,,"Sunday:[7 am–3 pm], Monday:[6 am–11 pm], Tuesday:[6 am–11 pm], Wednesday:[6 am–11 pm], Thursday:[6 am–11 pm], Friday:[6 am–11 pm], Saturday:[6 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipN8tScHtC_xodJtxdw5LwtUUS7T7piaQ6dQVqSY=w138-h92-k-no,3.24141E+17,ChIJY2hQkjTB5zsRHAwrydyUfwQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knock Down Fitness Center - 24x7 Gym in Navi Mumbai,"301, A- Wing, 3rd floor, Arihant Aura, station, Thane - Belapur Rd, opposite Turbhe, Turbhe MIDC, Turbhe, Navi Mumbai, Maharashtra 400705","301, A- Wing, 3rd floor",Arihant Aura,"Gym,Boxing club,Martial arts club,Muay Thai boxing gym,Sports club,Training centre",093264 84779,"093264 84779, +91 93264 84779",YES,270,4.4,https://search.google.com/local/reviews?placeid=ChIJVWwu2S_B5zsRkDsq5VRXC5I&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10523600976414915472,19.0754154,73.0189181,http://www.knockdownmma.in/,knockdownmma.in,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMMovMlfd0aYZaTeDipJCRF2FVSwJCgxaUTktqF=w163-h92-k-no,1.05236E+19,ChIJVWwu2S_B5zsRkDsq5VRXC5I,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physc Gym Nerul 24/7,"First Floor, Amrita Sadan, Station West, Nerul East, Sector 22, Nerul, Navi Mumbai, Maharashtra 400706",First Floor,Amrita Sadan,Gym,T3evZvS4C_6Y4-EPp5yBgQ4,,NO,81,4.8,https://search.google.com/local/reviews?placeid=ChIJE7x_46LD5zsR8IWA6yWrsnU&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=8481029227645273584,19.0324383,73.0166829,,,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPG4_Ku8HbZ3a7bw1DUvguz9xcmDDjne5dYCehM=w122-h92-k-no,8.48103E+18,ChIJE7x_46LD5zsR8IWA6yWrsnU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEEROY FITNESS,"Hall no. 2, Hills Residency, Plot 6b, Sector 6, Kharghar, Navi Mumbai, Maharashtra 410210",Hall no. 2,Hills Residency,"Fitness center,Gym,Juice shop,Personal trainer,Salad shop",077100 33533,"077100 33533, +91 77100 33533",YES,275,4.6,https://search.google.com/local/reviews?placeid=ChIJH0sbR1DD5zsRdON872eHsWo&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7688074919367467892,19.0439416,73.0618551,,,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipPN6dYXTAzMDbx5NG_8i2NgicIcqGqwIpvCOZxu=w181-h92-k-no,7.68807E+18,ChIJH0sbR1DD5zsRdON872eHsWo,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness Kingdom Golds,"Reliance Digital, Near, Sagar Vihar, Sector 13, Kopar Khairane, Navi Mumbai, Maharashtra 400709","Reliance Digital, Near",Sagar Vihar,"Gym,Body shaping class,Boxing Coaching Center,Fitness center,Health consultant,Muay Thai boxing gym,Nutritionist,Personal trainer,Weight loss service,Women's personal trainer",091367 86296,"091367 86296, +91 91367 86296",YES,61,4.2,https://search.google.com/local/reviews?placeid=ChIJGXdQ4IvB5zsRe8oDfKF0Syg&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2903542621689596539,19.0965646,73.0060362,,,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipMjdgZ6PVLzpB0WTAOWvmavEumuMHix1wkRKDj1=w122-h92-k-no,2.90354E+18,ChIJGXdQ4IvB5zsRe8oDfKF0Syg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KFitforce - Passion Gym Nerul Gymkhana, Navi Mumbai","Plot No 5A, Sector No 28, Nerul, Navi Mumbai, Maharashtra 400706",Plot No 5A,"Sector No 28, Nerul","Fitness center,Gym,Gymnastics center,Gymnastics club,Physical fitness program",090049 99948,"090049 99948, +91 90049 99948",YES,64,4.9,https://search.google.com/local/reviews?placeid=ChIJQ8i44BbD5zsRGOv9keZMD2c&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=7426238863732763416,19.0271972,73.0144761,https://kazifitforce.com/nerul-gymkhana/,kazifitforce.com,"Sunday:[8 am–4 pm], Monday:[6 am–10 pm], Tuesday:[6 am–10 pm], Wednesday:[6 am–10 pm], Thursday:[6 am–10 pm], Friday:[6 am–10 pm], Saturday:[6 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipMOwYHnnFc4xNAvFtiTVYccal37EIFhosoEQEM9=w194-h92-k-no,7.42624E+18,ChIJQ8i44BbD5zsRGOv9keZMD2c,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Re-Gen Fitness Unisex Gym,"Plot No 07, Shop No. 12 & 13, Gold Crest Residency, Jijamata Nagar, Sector 11, Ghansoli, Navi Mumbai, Maharashtra 400701",Plot No 07,"Shop No. 12 & 13, Gold Crest Residency","Fitness center,Aerobics Class,Gym,Personal trainer,Women's personal trainer,Yoga studio",085911 97970,"085911 97970, +91 85911 97970",YES,92,4.5,https://search.google.com/local/reviews?placeid=ChIJiUwsd3rB5zsRjPhJLimncv4&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=18334900828290807948,19.1179964,72.9943134,,,"Sunday:[6 am–11 pm], Monday:[6 am–11 pm], Tuesday:[6 am–11 pm], Wednesday:[6 am–11 pm], Thursday:[6 am–11 pm], Friday:[6 am–11 pm], Saturday:[6 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipPcViRrsfSXd0tsEv3QLEq_x8cI97gDp261VQz0=w163-h92-k-no,1.83349E+19,ChIJiUwsd3rB5zsRjPhJLimncv4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More's Muscle Factory,"Shop No. 01,02 & 03, Muktai CHS, Plot No.06A, Sector 06, Kopar Khairane, Navi Mumbai, Maharashtra 400709","Shop No. 01,02 & 03",Muktai CHS,"Fitness center,Gym,Gymnastics club",091676 68669,"091676 68669, +91 91676 68669",YES,130,4.7,https://search.google.com/local/reviews?placeid=ChIJATiu_GnB5zsRe5cuQL4smlw&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6672694993535014779,19.1039017,73.0057957,,,"Sunday:[6 am–11 pm], Monday:[6 am–11 pm], Tuesday:[6 am–11 pm], Wednesday:[6 am–11 pm], Thursday:[6 am–11 pm], Friday:[6 am–11 pm], Saturday:[6 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipOQDUu4e8f09_LDSfongCIv_Rm41Cqz4x61svm_=w122-h92-k-no,6.67269E+18,ChIJATiu_GnB5zsRe5cuQL4smlw,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metabolic Fitness - Vashi,"office No. 001, 1st Floor, Mahavir Milan, Co-op. Hsg. Soc, Plot No: 1, near Hotel Blue Diamond, Juhu Nagar, Sector 28, Vashi, Navi Mumbai, Maharashtra 400703","office No. 001, 1st Floor, Mahavir Milan",Co-op. Hsg. Soc,"Gym,Fitness center,Personal trainer",087797 11660,"087797 11660, +91 87797 11660",YES,132,4.9,https://search.google.com/local/reviews?placeid=ChIJx4CVRRPB5zsRmgHF6TNNWJM&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10617321006886617498,19.0905691,73.0060075,,,"Sunday:[6 am–10:30 pm], Monday:[6 am–10:30 pm], Tuesday:[6 am–10:30 pm], Wednesday:[6 am–10:30 pm], Thursday:[6 am–10:30 pm], Friday:[6 am–10:30 pm], Saturday:[6 am–10:30 pm]",https://lh5.googleusercontent.com/p/AF1QipP42TgzB8J2sw1D2dArKdh3KTEbIKesm_Ne4xqF=w122-h92-k-no,1.06173E+19,ChIJx4CVRRPB5zsRmgHF6TNNWJM,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven Star Fitness Studio Navi Mumbai,"40, Palm Beach Rd, near Amrit House, Phase 2, Sector 19E, Vashi, Navi Mumbai, Maharashtra 400703","40, Palm Beach Rd",near Amrit House,Gym,079000 31593,"079000 31593, +91 79000 31593",YES,43,4.6,https://search.google.com/local/reviews?placeid=ChIJ63v9_Q7B5zsRNwKopMhDhEU&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=5009203214577828407,19.0865739,73.008565,https://sevenstarfitness.in/,sevenstarfitness.in,"Sunday:[7 am–9 pm], Monday:[6 am–11 pm], Tuesday:[6 am–11 pm], Wednesday:[6 am–11 pm], Thursday:[6 am–11 pm], Friday:[6 am–11 pm], Saturday:[6 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipOM0CCuVSOaqTwSXZ1eEduddcCNSVz-dOxNAeYo=w80-h106-k-no,5.0092E+18,ChIJ63v9_Q7B5zsRNwKopMhDhEU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn It Fitness Hub,"Plot no.731,Shop.No.02,Ground & 1st Floor,Radha Krishna Mandir Marg Sector 11, Juhugaon, Vashi - Navi, Mumbai, Maharashtra 400703","Plot no.731,Shop.No.02,Ground & 1st Floor,Radha Krishna Mandir Marg Sector 11, Juhugaon, Vashi - Navi","Mumbai, Maharashtra 400703",Gym,098926 59291,"098926 59291, +91 98926 59291",YES,66,4.9,https://search.google.com/local/reviews?placeid=ChIJcYuP19jB5zsR-NStcB1hqsU&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14243303550585001208,19.0885158,73.0014291,,,"Sunday:[Open 24 hours], Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours]",https://lh5.googleusercontent.com/p/AF1QipOr8VNvEMUPBqD_Si_CgGHfufhQJQaoMqfjfzaK=w138-h92-k-no,1.42433E+19,ChIJcYuP19jB5zsR-NStcB1hqsU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB GYM FITNESS,"Orchid building, plot no 56, Gyan Vikas Road, opposite Apna Bazar, Sector 15, Kopar Khairane, Navi Mumbai, Maharashtra 400709",Orchid building,"plot no 56, Gyan Vikas Road",Fitness center,088799 80234,"088799 80234, +91 88799 80234",YES,568,4.8,https://search.google.com/local/reviews?placeid=ChIJ4doTmtfA5zsRG5Igra8Bk10&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=6742734921139261979,19.0991676,73.0041639,https://app.cloudpano.com/tours/xmeQ3ZvRn,app.cloudpano.com,"Sunday:[3–9 pm], Monday:[6 am–11 pm], Tuesday:[6 am–11 pm], Wednesday:[6 am–11 pm], Thursday:[6 am–11 pm], Friday:[6 am–11 pm], Saturday:[6 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipNgnoiV3F3arCqOwMFqi7qnvZjrOyvwW9sbVFto=w137-h92-k-no,6.74273E+18,ChIJ4doTmtfA5zsRG5Igra8Bk10,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body vision fitness,"shop no. 1, Radha Krishna apt, plot no. c-3, sec-9, Diva Nagar Rd, near Patel Dairy, Sector 9, Airoli, Navi Mumbai, Maharashtra 400708","shop no. 1, Radha Krishna apt, plot no. c-3, sec-9",Diva Nagar Rd,Gym,080821 39020,"080821 39020, +91 80821 39020",YES,130,4.8,https://search.google.com/local/reviews?placeid=ChIJTz1Ql9m55zsRItQ786Pcb5E&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10479837454632997922,19.146084,72.9890351,,,"Sunday:[6 am–12 pm], Monday:[6 am–11 pm], Tuesday:[6 am–11 pm], Wednesday:[6 am–11 pm], Thursday:[6 am–11 pm], Friday:[6 am–11 pm], Saturday:[6 am–11 pm]",https://lh5.googleusercontent.com/p/AF1QipNKeqxpMweDDoMDJ0L_T3XEL4AiMob7J_BqX_nP=w122-h92-k-no,1.04798E+19,ChIJTz1Ql9m55zsRItQ786Pcb5E,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustangs ladies gym,"2nd floor, F, Rainbow society, 3 D/4, Juhu Nagar, Sector 10, Vashi, Navi Mumbai, Maharashtra 400703","2nd floor, F",Rainbow society,Gym,077388 10544,"077388 10544, +91 77388 10544",YES,81,4.9,https://search.google.com/local/reviews?placeid=ChIJP4oj40DB5zsRAGVTkVpw4yE&q=Navi+Mumbai+all+gyms&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2441918957252470016,19.078476,72.998735,,,"Sunday:[4–9 pm], Monday:[6 am–10 pm], Tuesday:[6 am–10 pm], Wednesday:[6 am–10 pm], Thursday:[6 am–10 pm], Friday:[6 am–10 pm], Saturday:[6 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipNCnOEped4NTpW6AAyeMbsS9u8MXXhn5rN6AFB7=w80-h112-k-no,2.44192E+18,ChIJP4oj40DB5zsRAGVTkVpw4yE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
